Dish Name,Country,Region/City,Ingredients,Description,Cooking Method,Typical Price (USD),Vegetarian
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Falafel,Israel,Tel Aviv,"Chickpeas, Herbs, Spices, Tahini Sauce",Deep-fried chickpea balls served in pita with tahini.,Fried,3.0,Yes
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Manakish,Lebanon,Tripoli,"Flatbread, Za'atar, Olive Oil",Flatbread topped with za'atar and olive oil.,Baked,2.5,Yes
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Shawarma,Lebanon,Beirut,"Meat, Pita Bread, Garlic Sauce, Pickles",Sliced meat wrapped in pita bread with garlic sauce and pickles.,Grilled,4.5,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Taiyaki,Japan,Osaka,"Flour, Red Bean Paste",Fish-shaped cake filled with red bean paste.,Baked,2.0,Yes
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Okonomiyaki,Japan,Hiroshima,"Cabbage, Flour, Pork, Sauce, Mayo",Savory pancake with varied fillings and toppings.,Pan-Fried,5.0,No
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Vegetables, Sauce",Stir-fried noodles with vegetables and sauce.,Stir-Fried,4.0,Yes
